ip,mac_addresses,hostnames,protocols,first_seen,last_seen,sent_events,received_events
104.18.37.111,,sourceforge.net,tls,2024-11-04T13:05:09.716635Z,2024-11-04T13:05:09.730401Z,2,2
104.18.40.209,,a.fsdn.com,tls,2024-11-04T13:05:09.744517Z,2024-11-04T13:05:09.763944Z,2,2
104.208.16.92,,browser.events.data.msn.com,tcp;tls,2024-11-04T13:05:37.826349Z,2024-11-04T13:06:00.832910Z,149,133
116.202.120.165,,www.torproject.org,tcp;tls,2024-11-04T13:05:14.413595Z,2024-11-04T13:05:34.609902Z,624,316
119.110.115.146,,r.bing.com,tcp;tls,2024-11-04T13:05:41.248877Z,2024-11-04T13:05:50.601542Z,19,20
119.110.115.171,,img-s-msn-com.akamaized.net,tcp;tls,2024-11-04T13:05:37.923366Z,2024-11-04T13:06:00.641607Z,567,170
13.107.21.239,,edge.microsoft.com,tcp;tls,2024-11-04T13:05:35.317004Z,2024-11-04T13:05:40.594399Z,29,23
142.251.12.156,,pagead2.googlesyndication.com,tls,2024-11-04T13:05:09.705327Z,2024-11-04T13:05:09.733542Z,1,2
142.251.175.157,,stats.g.doubleclick.net,tcp;tls,2024-11-04T13:05:36.011772Z,2024-11-04T13:05:40.603984Z,20,20
172.23.4.1,00:00:00:00:00:00;08:00:27:9d:91:60;3e:7f:c1:e6:92:b4;48:22:54:c2:25:8b;ff:ff:ff:ff:ff:ff,a.fsdn.com;ads.pro-market.net;aefd.nelreports.net;analytics.google.com;analytics.slashdotmedia.com;api.msn.com;app-edge.smartscreen.microsoft.com;arc.msn.com;assets.msn.cn;assets.msn.com;browser.events.data.msn.com;c.bing.com;c.msn.com;checkappexec.microsoft.com;consent.cookiebot.com;consentcdn.cookiebot.com;dl-edge.smartscreen.microsoft.com;ecn.dev.virtualearth.net;edge.microsoft.com;fonts.googleapis.com;fonts.gstatic.com;img-s-msn-com.akamaized.net;imgsct.cookiebot.com;j.6sc.co;ml314.com;nav-edge.smartscreen.microsoft.com;ntp.msn.com;pagead2.googlesyndication.com;r.bing.com;r.msftstatic.com;sb.scorecardresearch.com;sourceforge.net;srtb.msn.com;stats.g.doubleclick.net;td.doubleclick.net;th.bing.com;wpad.lan;www.bing.com;www.exploit-db.com;www.google-analytics.com;www.google.co.id;www.googletagmanager.com;www.torproject.org,arp;dns;icmp,2024-11-04T13:05:09.675582Z,2024-11-04T13:07:52.556982Z,118,119
172.23.4.10,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:35.872906Z,2024-11-04T13:06:35.872906Z,0,1
172.23.4.100,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:19.851239Z,2024-11-04T13:07:19.851239Z,0,1
172.23.4.106,48:22:54:c2:25:8b;ff:ff:ff:ff:ff:ff,,arp,2024-11-04T13:05:51.764022Z,2024-11-04T13:05:51.764022Z,0,1
172.23.4.107,,172.23.4.107:8443,http;tcp,2024-11-04T13:06:00.029053Z,2024-11-04T13:06:03.096128Z,38,24
172.23.4.11,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:36.350317Z,2024-11-04T13:06:36.350317Z,0,1
172.23.4.110,00:00:00:00:00:00;3e:7f:c1:e6:92:b4,,arp,2024-11-04T13:05:38.738373Z,2024-11-04T13:05:41.917935Z,2,0
172.23.4.115,00:00:00:00:00:00;08:00:27:82:34:0d;08:00:27:9d:91:60;48:22:54:c2:25:8b;52:68:ee:1d:cc:cd,172.23.4.107:8443;172.23.4.123:8080;a.fsdn.com;ads.pro-market.net;aefd.nelreports.net;analytics.google.com;analytics.slashdotmedia.com;api.msn.com;app-edge.smartscreen.microsoft.com;arc.msn.com;assets.msn.cn;assets.msn.com;browser.events.data.msn.com;c.bing.com;c.msn.com;checkappexec.microsoft.com;consent.cookiebot.com;consentcdn.cookiebot.com;dl-edge.smartscreen.microsoft.com;ecn.dev.virtualearth.net;edge.microsoft.com;fonts.googleapis.com;fonts.gstatic.com;img-s-msn-com.akamaized.net;imgsct.cookiebot.com;j.6sc.co;ml314.com;nav-edge.smartscreen.microsoft.com;ntp.msn.com;pagead2.googlesyndication.com;r.bing.com;r.msftstatic.com;sb.scorecardresearch.com;sourceforge.net;srtb.msn.com;stats.g.doubleclick.net;td.doubleclick.net;th.bing.com;wpad.lan;www.bing.com;www.exploit-db.com;www.google-analytics.com;www.google.co.id;www.googletagmanager.com;www.torproject.org,arp;dns;http;icmp;tcp;tls,2024-11-04T13:05:07.705891Z,2024-11-04T13:07:52.556982Z,2151,3772
172.23.4.12,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:36.844927Z,2024-11-04T13:06:36.844927Z,0,1
172.23.4.123,00:00:00:00:00:00;08:00:27:82:34:0d;08:00:27:9d:91:60,172.23.4.123:8080,arp;http;tcp,2024-11-04T13:07:22.768745Z,2024-11-04T13:07:27.953230Z,10,10
172.23.4.13,00:00:00:00:00:00;08:00:27:9d:91:60;48:22:54:c2:25:8b;52:68:ee:1d:cc:cd,,arp;icmp,2024-11-04T13:06:36.906765Z,2024-11-04T13:07:38.945928Z,2,3
172.23.4.14,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:37.354558Z,2024-11-04T13:06:37.354558Z,0,1
172.23.4.15,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:37.844250Z,2024-11-04T13:06:37.844250Z,0,1
172.23.4.16,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:38.354850Z,2024-11-04T13:06:38.354850Z,0,1
172.23.4.17,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:38.857447Z,2024-11-04T13:06:38.857447Z,0,1
172.23.4.18,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:39.355068Z,2024-11-04T13:06:39.355068Z,0,1
172.23.4.19,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:39.878132Z,2024-11-04T13:06:39.878132Z,0,1
172.23.4.2,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:32.856981Z,2024-11-04T13:06:32.856981Z,0,1
172.23.4.20,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:40.342388Z,2024-11-04T13:06:40.342388Z,0,1
172.23.4.21,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:40.946359Z,2024-11-04T13:06:40.946359Z,0,1
172.23.4.22,,,icmp;tcp,2024-11-04T13:05:07.705891Z,2024-11-04T13:07:49.178690Z,36,66
172.23.4.23,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:41.401444Z,2024-11-04T13:06:41.401444Z,0,1
172.23.4.24,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:41.897223Z,2024-11-04T13:06:41.897223Z,0,1
172.23.4.25,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:42.365469Z,2024-11-04T13:06:42.365469Z,0,1
172.23.4.26,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:42.881190Z,2024-11-04T13:06:42.881190Z,0,1
172.23.4.27,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:43.357750Z,2024-11-04T13:06:43.357750Z,0,1
172.23.4.28,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:43.853106Z,2024-11-04T13:06:43.853106Z,0,1
172.23.4.29,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:44.339608Z,2024-11-04T13:06:44.339608Z,0,1
172.23.4.3,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:33.351376Z,2024-11-04T13:06:33.351376Z,0,1
172.23.4.30,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:44.901501Z,2024-11-04T13:06:44.901501Z,0,1
172.23.4.31,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:45.354616Z,2024-11-04T13:06:45.354616Z,0,1
172.23.4.32,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:45.866111Z,2024-11-04T13:06:45.866111Z,0,1
172.23.4.33,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:46.470435Z,2024-11-04T13:06:46.470435Z,0,1
172.23.4.34,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:46.859813Z,2024-11-04T13:06:46.859813Z,0,1
172.23.4.35,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:47.381493Z,2024-11-04T13:06:47.381493Z,0,1
172.23.4.36,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:47.881026Z,2024-11-04T13:06:47.881026Z,0,1
172.23.4.37,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:48.346356Z,2024-11-04T13:06:48.346356Z,0,1
172.23.4.38,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:48.923278Z,2024-11-04T13:06:48.923278Z,0,1
172.23.4.39,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:49.348838Z,2024-11-04T13:06:49.348838Z,0,1
172.23.4.4,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:33.895649Z,2024-11-04T13:06:33.895649Z,0,1
172.23.4.40,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:49.847057Z,2024-11-04T13:06:49.847057Z,0,1
172.23.4.41,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:50.357793Z,2024-11-04T13:06:50.357793Z,0,1
