timestamp,frame_number,protocol,event_type,src_ip,src_port,dst_ip,dst_port,stream_id,summary
2024-11-04T13:05:07.705891Z,1,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:07.816289Z,2,tcp,tcp,172.23.4.22,8009,172.23.4.115,54880,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:07.861078Z,3,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.132313Z,4,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.147152Z,5,tcp,tcp,172.23.4.8,8009,172.23.4.115,54879,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.189896Z,6,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.247182Z,7,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.256758Z,8,tcp,tcp,172.23.4.6,8009,172.23.4.115,54878,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:08.299222Z,9,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.675582Z,10,dns,dns,172.23.4.115,58034,172.23.4.1,53,,DNS sourceforge.net
2024-11-04T13:05:09.675894Z,11,dns,dns,172.23.4.115,61890,172.23.4.1,53,,DNS sourceforge.net
2024-11-04T13:05:09.676198Z,12,dns,dns,172.23.4.115,57179,172.23.4.1,53,,DNS a.fsdn.com
2024-11-04T13:05:09.676459Z,13,dns,dns,172.23.4.115,49203,172.23.4.1,53,,DNS a.fsdn.com
2024-11-04T13:05:09.676901Z,14,dns,dns,172.23.4.115,60964,172.23.4.1,53,,DNS pagead2.googlesyndication.com
2024-11-04T13:05:09.677421Z,15,dns,dns,172.23.4.115,62434,172.23.4.1,53,,DNS pagead2.googlesyndication.com
2024-11-04T13:05:09.701567Z,16,dns,dns,172.23.4.1,53,172.23.4.115,60964,,DNS pagead2.googlesyndication.com 142.251.12.156
2024-11-04T13:05:09.702106Z,17,dns,dns,172.23.4.1,53,172.23.4.115,49203,,DNS a.fsdn.com
2024-11-04T13:05:09.702106Z,18,dns,dns,172.23.4.1,53,172.23.4.115,62434,,DNS pagead2.googlesyndication.com
2024-11-04T13:05:09.705327Z,19,tls,tls,172.23.4.115,,142.251.12.156,,,TLS SNI
2024-11-04T13:05:09.705576Z,20,tls,tls,172.23.4.115,,142.251.12.156,,,TLS SNI pagead2.googlesyndication.com
2024-11-04T13:05:09.706655Z,22,dns,dns,172.23.4.115,58170,172.23.4.1,53,,DNS analytics.slashdotmedia.com
2024-11-04T13:05:09.707099Z,23,dns,dns,172.23.4.115,57143,172.23.4.1,53,,DNS analytics.slashdotmedia.com
2024-11-04T13:05:09.713202Z,24,dns,dns,172.23.4.1,53,172.23.4.115,58034,,DNS sourceforge.net 104.18.37.111
2024-11-04T13:05:09.713202Z,25,dns,dns,172.23.4.1,53,172.23.4.115,61890,,DNS sourceforge.net
2024-11-04T13:05:09.716635Z,26,tls,tls,172.23.4.115,,104.18.37.111,,,TLS SNI
2024-11-04T13:05:09.717341Z,27,tls,tls,172.23.4.115,,104.18.37.111,,,TLS SNI sourceforge.net
2024-11-04T13:05:09.719399Z,29,dns,dns,172.23.4.115,63876,172.23.4.1,53,,DNS j.6sc.co
2024-11-04T13:05:09.719881Z,30,dns,dns,172.23.4.115,49343,172.23.4.1,53,,DNS j.6sc.co
2024-11-04T13:05:09.721559Z,31,dns,dns,172.23.4.1,53,172.23.4.115,57179,,DNS a.fsdn.com 104.18.40.209
2024-11-04T13:05:09.730401Z,35,dns,dns,172.23.4.1,53,172.23.4.115,57143,,DNS analytics.slashdotmedia.com
2024-11-04T13:05:09.730401Z,36,tls,tls,104.18.37.111,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.730401Z,37,tls,tls,104.18.37.111,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.731893Z,39,dns,dns,172.23.4.1,53,172.23.4.115,58170,,DNS analytics.slashdotmedia.com 216.105.38.9
2024-11-04T13:05:09.733542Z,41,tls,tls,142.251.12.156,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.739063Z,48,dns,dns,172.23.4.115,54146,172.23.4.1,53,,DNS ml314.com
2024-11-04T13:05:09.739918Z,52,dns,dns,172.23.4.115,63939,172.23.4.1,53,,DNS ml314.com
2024-11-04T13:05:09.744517Z,57,tls,tls,172.23.4.115,,104.18.40.209,,,TLS SNI
2024-11-04T13:05:09.744887Z,58,tls,tls,172.23.4.115,,104.18.40.209,,,TLS SNI a.fsdn.com
2024-11-04T13:05:09.748522Z,61,tcp,tcp,172.23.4.115,55071,66.96.225.200,443,3,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.748933Z,62,tcp,tcp,172.23.4.115,55070,96.17.96.30,443,4,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.751907Z,64,dns,dns,172.23.4.1,53,172.23.4.115,63876,,DNS j.6sc.co 96.17.96.30
2024-11-04T13:05:09.754032Z,66,tcp,tcp,66.96.225.200,443,172.23.4.115,55071,3,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.756939Z,67,dns,dns,172.23.4.115,59068,172.23.4.1,53,,DNS ads.pro-market.net
2024-11-04T13:05:09.757413Z,68,dns,dns,172.23.4.115,51678,172.23.4.1,53,,DNS ads.pro-market.net
2024-11-04T13:05:09.758266Z,71,dns,dns,172.23.4.1,53,172.23.4.115,54146,,DNS ml314.com 34.117.77.79
2024-11-04T13:05:09.763944Z,73,tls,tls,104.18.40.209,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.763944Z,74,tls,tls,104.18.40.209,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.763944Z,75,dns,dns,172.23.4.1,53,172.23.4.115,49343,,DNS j.6sc.co
2024-11-04T13:05:09.763944Z,76,dns,dns,172.23.4.1,53,172.23.4.115,63939,,DNS ml314.com
2024-11-04T13:05:09.767492Z,79,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=True ack=False rst=False
2024-11-04T13:05:09.768730Z,80,tls,tls,172.23.4.115,,34.117.77.79,,,TLS SNI
2024-11-04T13:05:09.768862Z,81,tls,tls,172.23.4.115,,34.117.77.79,,,TLS SNI ml314.com
2024-11-04T13:05:09.769207Z,82,dns,dns,172.23.4.115,56884,172.23.4.1,53,,DNS www.google-analytics.com
2024-11-04T13:05:09.769505Z,83,dns,dns,172.23.4.115,63570,172.23.4.1,53,,DNS www.google-analytics.com
2024-11-04T13:05:09.770379Z,84,tcp,tcp,96.17.96.30,443,172.23.4.115,55070,4,TCP syn=False ack=True rst=False
